"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"183","0","1","0","1","m","yes","nonprof","22",">6","handheld","highspeed"
"184","0","1","0","1","f","no","nonprof","9","1","handsfree","highspeed"
"185","1","0","0","1","f","yes","prof","26","1","handsfree","highspeed"
"186","0","1","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"187","0","1","0","1","m","yes","nonprof","18",">6","handsfree","highspeed"
"188","0","1","0","1","f","yes","nonprof","11","1","handsfree","highspeed"
"189","0","1","0","1","f","yes","nonprof","17","1","handsfree","highspeed"
"190","0","1","0","1","f","yes","nonprof","11","1","handsfree","highspeed"
"191","0","1","0","1","m","yes","nonprof","17","1","handsfree","highspeed"
"192","0","1","0","1","m","yes","prof","14","2-3","handheld","lowspeed"
"193","0","1","0","1","f","yes","nonprof","10","2-3","handsfree","highspeed"
"194","0","1","0","1","m","yes","nonprof","30","2-3","handsfree","highspeed"
"195","0","1","0","1","m","no","nonprof","50","4-5","handsfree","highspeed"
"196","1","0","0","1","m","yes","nonprof","14","4-5","handsfree","highspeed"
"197","0","1","0","1","m","yes","prof","22","2-3","handheld","highspeed"
"198","1","0","0","1","f","yes","nonprof","7","4-5","handsfree","highspeed"
"199","0","1","0","1","m","yes","nonprof","20","2-3","handsfree","highspeed"
"200","1","0","0","1","f","yes","nonprof","15","2-3","handsfree","highspeed"
"201","0","1","0","1","f","yes","prof","21","1","handsfree","highspeed"
"202","1","0","0","1","m","yes","prof","22","4-5","handheld","highspeed"
"203","0","1","0","1","f","yes","prof","20","1","handsfree","highspeed"
"204","0","1","0","1","f","yes","nonprof","10","4-5","handsfree","highspeed"
"205","0","1","0","1","m","yes","nonprof","19",">6","handsfree","highspeed"
"206","0","1","0","1","m","yes","nonprof","19","1","handsfree","highspeed"
"207","0","1","0","1","f","yes","nonprof","25",">6","handsfree","highspeed"
"208","0","1","0","1","m","yes","prof","17","1","handsfree","highspeed"
"209","1","0","0","1","m","yes","nonprof","13",">6","handsfree","highspeed"
